battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration,aggressive_discharge_count,avg_soc
SIM000,14.825,27.714335464439937,8,343,15,8,14.018145864494267
SIM001,21.975,29.572925592974258,19,396,52,39,4.537648519457142
SIM002,30.7625,32.62069126909442,49,386,117,87,5.970262020895119
SIM003,16.1,27.6959935359902,6,378,14,10,6.7520157957456775
SIM004,19.6625,29.177248724262277,16,360,45,34,10.323831104959313
SIM005,33.1,33.60032553666434,55,396,134,95,3.972613185153668
SIM006,17.0,28.2819462774566,11,374,22,14,7.3294680780875225
SIM007,22.775,30.083410038392998,30,397,59,36,3.6750042838461705
SIM008,30.675,32.852968874210426,46,396,112,87,3.331788906818283
SIM009,17.4625,28.15277921455258,7,383,22,18,6.287650073169661
SIM010,21.8375,29.437220261216726,25,400,51,32,2.662582722941764
SIM011,30.8875,32.69677719682587,49,391,116,87,3.6464520391694974
SIM012,16.625,28.00818461049386,8,363,19,12,11.833571661923267
SIM013,22.9375,29.91072937656216,22,399,58,43,3.604006107818122
SIM014,31.375,32.7547904991991,51,398,118,87,2.6293655756844583
SIM015,16.675,28.30519677722264,13,365,23,12,7.906873827750231
SIM016,22.3625,29.997777912521506,27,382,59,40,5.6868158396774655
SIM017,31.3625,32.81527160293527,42,395,122,91,2.8455030340845293
SIM018,16.75,28.018515579251012,6,384,16,14,5.62205792828969
SIM019,22.55,29.990430819336897,26,381,61,42,7.676758862381258
